pretty_formula,material_id,band_gap
Ba4Mg(SiN3)2,mp-1019517,1.5934999999999997
Cs3TlBr6,mp-1112647,1.6915
KBaCeBiO6,mp-1519349,1.5341
Na8Ca3Sn(PO4)6,mp-2715088,1.5316000000000003
Na3Mg5Nb(SO4)9,mp-2714163,1.5787
SnHg2(SBr)2,mp-643460,1.8541
TlAgI2,mp-27801,1.5659
ZnNiF5,mp-1343278,1.6149
Na10Ta4Zn4Si7S5O48,mp-2714127,1.9401
K6ZnS4,mp-1147618,1.9714
K2Na3InO4,mp-504962,1.92
ScFeO3,mp-771123,1.6430000000000002
NaSrCeBiO6,mp-1519230,1.7302999999999995
Ce8Gd2O19,mp-677234,1.5231999999999992
Fe4H14O13,mp-626855,1.8694
Na3SbSe3,mp-1193265,1.9982
Rb2YAuF6,mp-1111399,1.5261
Cd(AsO3)2,mp-7128,1.9349
CoB10H19C11,mp-1195847,1.7185
ICl3,mp-27729,1.7959999999999998
Na4GeSe4,mp-28292,1.7906
P2PdO6,mp-29274,1.6196000000000002
Mg14MnZnO16,mp-1036184,1.7804000000000002
Li4Mn3O8,mp-779008,1.6716
Ba2LiVP2O9,mp-760067,1.8934
Pd(SeCl3)2,mp-28175,1.7002
Y2S3,mp-32891,1.9018999999999997
InRe2(CO)9,mp-1196269,1.9166
Na8Al6Si6O25,mp-1173749,1.8673
SbBrO,mp-989189,1.6021
ZnFePO5,mp-1046713,1.8781
Zn2CrWO6,mp-1282430,1.6192000000000002
MgCrF6,mp-554955,1.6141
TiSnO4,mp-1216649,1.5783000000000005
Ca10Ti8NbFeO30,mp-743819,1.9961
LiTiVO5,mp-756178,1.5071000000000003
KSn2I5,mp-23534,1.5097999999999998
Rb3AgO2,mp-553907,1.5831
LiFe5(OF2)4,mp-1176720,1.6382
Cr(PO3)3,mp-31690,1.949
BaSrYBiO6,mp-1516562,1.7909000000000002
YMgCu(WO4)2,mp-2233909,1.6856999999999998
Na2O,mp-1974948,1.626
Na2FeAsCO7,mp-772415,1.8771
UH10Cl2O15,mp-1198958,1.5111
MgCd2(CoO3)2,mp-2217908,1.5884999999999998
CsNd5Se8,mp-38442,1.6224999999999996
K4Ba(VS4)2,mp-558121,1.5514
Li2Mn2C2O7,mp-760097,1.9123
Na6Ta2In6Si5S7O48,mp-2715864,1.9131
Y3NbSiS5O24,mp-2712943,1.5409
Li3Fe(PO4)2,mp-757629,1.9918
Nd2MgSe4,mp-1232048,1.6854999999999998
Na4TeSe,mp-1221139,1.9291
SbF5,mp-1046542,1.743
HgC8(I2N)2,mp-1204359,1.7803999999999998
Bi2O3,mp-37036,1.6863
SnS2,mp-1002063,1.8648
Na3P11,mp-473,1.8326
Cd(HO)2,mp-2051619,1.7019
H8PtO6,mp-625112,1.5662000000000005
V(GeO3)2,mp-1043235,1.6846
MgMn2V2(BiO5)2,mp-2224271,1.6027
AgN3,mp-571297,1.6314999999999995
KH13CBrNO7,mp-600177,1.783
Nb2Ge2O7,mp-771194,1.5479999999999998
Cs2NaRhF6,mp-1111979,1.9082000000000003
La17Al4(Si3N11)3,mp-866690,1.8771000000000004
Ag4Bi2O5,mp-28996,1.6389000000000005
RbTl(SO4)2,mp-556120,1.989
VP3(HO)6,mp-1201989,1.9864
BaNaCeBiO6,mp-1519525,1.5674
LiVF4,mp-754766,1.8449
V2CdO10,mp-1193246,1.533
AsIrS,mp-1228823,1.8630000000000004
TiZn(BiO3)2,mp-550998,1.5434
MgVNiP2O9,mp-1332813,1.9890000000000003
Mg30CrNiO32,mp-1036879,1.6373999999999995
LiYS2,mp-33363,1.9597
SiC,mp-1200168,1.9411999999999985
MgVFeP2(O4F)2,mp-2224790,1.6196000000000002
Pr4S3N2,mp-558617,1.5093
