pretty_formula,material_id,band_gap
AgSb3PbS6,mp-1229272,1.5029
Ag2Mo(I2O7)2,mp-1203404,1.9611
Ba4InAgS6,mp-1195568,1.6864
CsK2RuF6,mp-1112313,1.66
CoH15Pd(NCl)5,mp-1204542,1.6232
K2InAgF6,mp-1112283,1.6678000000000002
Sr3InRhO6,mp-669389,1.5007
TaAuN2,mp-1246762,1.5015999999999998
KCr2AgO7,mp-559172,1.6229
Cs2H4RuNCl5O3,mp-707803,1.8073
H48PtC32S4(N3O4)2,mp-1202135,1.6557
K2LiRhF6,mp-1111665,1.7665
Cd(AuF6)2,mp-557715,1.8309
Zn(AuF4)2,mp-17512,1.7174
K2Pd(NO3)4,mp-556518,1.9068
H14RhC6NClO4,mp-561074,1.7483999999999995
Si4Te2H44Pd(C8Cl)2,mp-1200140,1.9208
Ba4Ga5AgSe12,mp-1228309,1.5706
Dy5AgS8,mp-35512,1.731800000000001
Li2PtO3,mp-531826,1.734
BaNaH3Pd,mp-862693,1.5042000000000002
H6Os5Pt2(CO)17,mp-720469,1.7221000000000002
AgNO3,mp-8196,1.7204
Rb4Au6S5,mp-29090,1.698
PtO2,mp-617,1.6099
Ag3SbS3,mp-1104271,1.8371
La3SiAgS7,mp-17719,1.9663000000000004
H6PdC2(SO3)2,mp-1197675,1.5616
AgAs(SeF2)3,mp-1191037,1.6736
Cs2AgBiCl6,mp-1078258,1.8663
Li5AuO4,mp-1222442,1.8762
La3SiAgSe7,mp-6485,1.6531000000000002
TmAg(PSe3)2,mp-13385,1.7789
V2AgP3O11,mp-1216770,1.7981000000000005
NaH9Rh2C5O12,mp-1201841,1.7058999999999995
Sm3SiAgS7,mp-863032,1.8405000000000005
AlNiAg2F7,mp-1214829,1.9697
Ag2Pd(NO2)4,mp-1195817,1.8404
CsK2PdF5,mp-8959,1.8661
KAgF4,mp-7387,1.7377999999999998
VAgO3,mp-624691,1.6463
ZnAgPO4,mp-1207494,1.7170999999999998
CoAgPO4,mp-1275604,1.7666000000000004
Ag3BiO3,mp-505145,1.5250000000000004
Pt(SCl3)2,mp-28722,1.8217
P3RhO9,mp-14935,1.6795000000000004
ScCr2Ag(H2O5)2,mp-559606,1.7683
Rb2NaRhF6,mp-14038,1.957
Ba2H4Pd,mp-1193896,1.7035
FeAg3F6,mp-1205948,1.7972
Cs2PrAuCl6,mp-1113408,1.9281
H17RuN6ClO3,mp-1212573,1.8939
Ag2BrNO3,mp-556345,1.6045
KP2H4PtO9,mp-1195234,1.9184
Nd2NiPtO6,mp-1209936,1.8452
RhCl3,mp-27770,1.5212
Rb2AgSbS4,mp-557540,1.6372
Ba2H2Pd(S5O17)2,mp-1195529,1.5874
KAgCO3,mp-1191888,1.5675
Cs2AgAsS4,mp-561622,1.5615
Ba4Ti2PtO10,mp-558894,1.9973
LiAgF2,mp-752767,1.634
Ag3AsS3,mp-561620,1.6277999999999997
AuS5N5Cl4,mp-561470,1.7333999999999998
AuBrF6,mp-30159,1.6361000000000003
TbAgS2,mp-1208370,1.5681000000000005
Cs2AlAuF6,mp-1113113,1.5293
Cs3Ag(AsSe2)4,mp-1199633,1.6042999999999998
Tb5AgS8,mp-33449,1.7047999999999996
Ag6Mo10O33,mp-1205440,1.8778
AgSbS2,mp-1182950,1.7447999999999997
Cs2YAuBr6,mp-1112918,1.863
NbAgN2,mp-1245369,1.6891000000000005
CsAuSe,mp-574599,1.7093
Rb2Hg2PdBr8,mp-567515,1.5753
La3AgGeS7,mp-617632,1.9759
PtCI2O,mp-558381,1.5982
Os2Xe(O3F5)2,mp-1205001,1.9286
PIrS,mp-1220004,1.8653999999999995
AgIO3,mp-849271,1.9765
YAgS2,mp-1207671,1.7034000000000002
PtCl2,mp-23290,1.7917
AgMoPO6,mp-14029,1.9428
AuSCl7,mp-556587,1.8191
NaLi2RhF6,mp-1111095,1.9166
AgH4WS4N,mp-643431,1.7101
Na2Pd(NO3)4,mp-560120,1.7034
Li2AgF3,mp-760805,1.9409
Pr2Au5F21,mp-14715,1.729
Na2GaAgF6,mp-1111329,1.5786
K2ScAuBr6,mp-1111993,1.7408
IrCl3,mp-568208,1.9582
Ru(C4N3)2,mp-1245789,1.8182000000000005
Li2AgF3,mp-760580,1.9705
K2Sn(AuS2)2,mp-557121,1.6433
K2Ag4Pt3(NO2)12,mp-557863,1.6828
AgNO2,mp-5770,1.7726
LiZnRhF6,mp-1222336,1.5896
Cs2AgSbCl6,mp-1112940,1.6624
Ag2TeO3,mp-18068,1.6272999999999995
Na3AuO2,mp-28365,1.9715
CsRb2PdF5,mp-8202,1.7853
TlAu(CN)2,mp-569173,1.7415000000000005
ZnH18Ru2Br7N6,mp-707342,1.5730999999999995
H2Os5(CO)16,mp-707849,1.7437
P3RhW2O15,mp-1194839,1.5049
LiHg2Au,mp-1097526,1.7888000000000006
Cs2ScAuBr6,mp-1112631,1.7173
Ho2CoPtO6,mp-1212356,1.7584
K2PtC4(BrN2)2,mp-568299,1.9429
Hg2P4PdO8,mp-1213487,1.6023
Ho2Au5F21,mp-541349,1.6192
K2H6PtC4N4O3,mp-720283,1.8723
La2Au5F21,mp-3817,1.8445
Na2AgSbCl6,mp-1111538,1.5820999999999998
K2PtCl6,mp-23513,1.8566
MgV2Ag2(HgO4)2,mp-2232484,1.5692999999999997
ErAg(PSe3)2,mp-13384,1.7618
P2PtO7,mp-29282,1.5197
KH2OsNCl4,mp-1211579,1.5572
Ag5CF4,mp-29536,1.9268
Al5AgS8,mp-1228170,1.5406000000000004
RbAu(SO4)2,mp-555741,1.7149
Pd(SCl3)2,mp-28174,1.7553
Pr2NiPtO6,mp-1209764,1.8264000000000005
Ca2V3Ni2AgO12,mp-705890,1.79
AlAg(WO4)2,mp-1047674,1.5337999999999994
