pretty_formula,material_id,band_gap
Na3CaSn(PO4)3,mp-2715509,1.9156999999999997
Na3GaBr6,mp-1110798,1.6742
Zn(BiO2)2,mp-1042270,1.7048999999999999
MgFe4(HO2)4,mp-2229655,1.544
Mo2P2O11,mp-25266,1.6407
CsNa5(WN3)2,mp-581834,1.7775
Mg4CN4,mp-1245729,1.9104999999999999
Na2Al2Si3(HO3)4,mp-677670,1.9221000000000004
RbAg4I5,mp-676813,1.7041999999999997
Na6Ca3GeP4(SO12)2,mp-2712706,1.9257999999999997
Fe2C2O7,mp-759204,1.8948
Li3Fe8(BO3)8,mp-764796,1.6373
Na2AgMoF6,mp-1111323,1.7775
MgFe4(PO4)4,mp-1233870,1.8214000000000001
PICl6,mp-27824,1.7907
Na2SO5,mp-1190448,1.5857999999999999
K2PSe3,mp-31314,1.7683
SnBr2,mp-1272139,1.967
WO2,mp-1042291,1.6528
Sr3Ca(SnO3)4,mp-1218522,1.8808999999999996
Rb2Ag2GeS4,mp-555852,1.907
NaCaNbP2SO12,mp-2712763,1.8247000000000002
MgP4WO12,mp-1045917,1.8527
Ge3N4,mp-571281,1.6238000000000001
Tl2SI2,mp-1207211,1.5577
MoP2NCl12,mp-582976,1.691
Li3MnF6,mp-776098,1.5801
ZnAgF3,mp-14099,1.5852
Rb6Br4O,mp-30005,1.5308000000000002
CsI2Br,mp-27662,1.9762
Sn(S4I)4,mp-557101,1.7979
BN,mp-1245231,1.6715
IrCl3,mp-729507,1.6759999999999997
KMg14WO16,mp-1035887,1.6604999999999999
LiFe4(BO3)4,mp-849720,1.6524
Li2Mo(PO4)2,mp-1101539,1.7283
LiFeSiO4,mp-861542,1.9897000000000005
Na2NbAl3Si2(SO6)4,mp-2712714,1.5145
Zn(GaS2)2,mp-1094002,1.5343999999999998
LiMn2OF3,mp-759613,1.8555000000000001
Na6Ca3Si2Sn(SO6)4,mp-2712795,1.6861000000000002
Si,mp-1204627,1.5215999999999998
GePbN2,mp-1245499,1.6699000000000002
FeClO,mp-540828,1.9133
K5Zn4Sn5H4S17N,mp-1211906,1.5769
KRbMg30O31,mp-1040323,1.9122
H12PdC2(N3Cl2)2,mp-1198297,1.7471999999999999
Na4Ge5O12,mp-1094119,1.5224999999999995
LiMg30MnO32,mp-1038038,1.5303000000000004
Os4C13SO13,mp-649945,1.96
K2IrCBr5O,mp-648833,1.815
Al4H50S7O52,mp-1229278,1.6362
RbTa(CuSe2)2,mp-11925,1.7333
Zn(FeO2)2,mp-19313,1.6686
Na6Ga4Si5Sn4S7O48,mp-2716103,1.8788
SiO2,mp-1244965,1.6018
Zn(GaS2)2,mp-34467,1.8921999999999999
Na8Mg(FeO4)2,mp-2230177,1.9324
B6O,mp-1346,1.8563999999999998
Sr4Nb2O9,mp-1173213,1.5023000000000004
LiFeP2O7,mp-753018,1.6498000000000002
Tl3PdCl5,mp-29460,1.633
Li3H3N2,mp-977164,1.7457000000000003
K3Fe5(PO4)6,mp-566670,1.833
CsNbN2,mp-1030663,1.6441
Sr3P14,mp-1853,1.6551
Cs4PbO4,mp-542099,1.7688999999999997
Fe3OF5,mp-753290,1.7313
MgPb2(WO4)2,mp-2219496,1.9154
B12S,mp-1228640,1.7964000000000002
MgFe4(OF)4,mp-2218371,1.5050000000000001
Na21Nb8Zn4Si15(PO24)3,mp-2714325,1.7663
Na5Ca2Nb2SiP5O24,mp-2715920,1.7713
K3MoBr6,mp-1110884,1.5527
Na30Nb4Zn20Si9(S3O16)9,mp-2714854,1.6711999999999998
Sn2Cl4O3,mp-1179519,1.7801
Na15Mg7Ta5Si9(SO8)9,mp-2716569,1.9060000000000001
ZnGe7N10,mp-1245442,1.626
K3Th2Cu3S7,mp-638086,1.5469999999999997
GaHO2,mp-673411,1.9492000000000003
H7NO6,mp-626127,1.6933
Sr3C3N5,mp-1247168,1.8287
Na6Ta2Al6Si5S7O48,mp-2716095,1.8483999999999998
Li7Fe6(SiO4)6,mp-1176885,1.9923
Na6Ca8Ta16Si15(S7O48)3,mp-2716145,1.8376
Bi3O4F,mp-753600,1.8834000000000004
Tl3B3S10,mp-17823,1.8863000000000003
Fe4OF7,mp-755914,1.6444999999999999
CsPSe6,mp-1194666,1.7032000000000003
Ca2Al11Si13Ag7O48,mp-706809,1.7357
LiP4WO12,mp-758364,1.5214000000000003
MgZn2Fe2(SiO5)2,mp-2229218,1.847
WO3,mp-1197857,1.6735000000000002
NaNbSi3Sn3(SO8)3,mp-2713975,1.6403999999999999
SiSe2,mp-1179443,1.8981000000000001
NaCaH3,mp-1078750,1.9793999999999998
Cs2TlRhF6,mp-1112340,1.9056
Si2H2O3,mp-1179424,1.8548
Li2FeP2HO8,mp-684770,1.9018
Os3C10O11,mp-726426,1.6394
LiGa(GeSe3)2,mp-1222398,1.5103999999999997
SrCuSF,mp-12444,1.5126
TlSO4,mp-1208021,1.9958
Li2MnOF3,mp-753753,1.5139
MgH2(SO4)2,mp-690765,1.5506
Na10Zn6Si3Sn2(S3O16)3,mp-2714866,1.7384
Ta2Tl4S11,mp-18344,1.5232999999999994
Mn(H15N8)2,mp-1195097,1.9112999999999998
InBi2S4Br,mp-1206068,1.6270000000000002
Li4MnGe2S7,mp-1192995,1.5209
Na10Mg4Ta4Si7S5O48,mp-2716025,1.8695
Cs2PH4Se3O2,mp-1199614,1.6174000000000002
LiCu(PO3)2,mp-752930,1.6143999999999998
Li2MnF5,mp-756243,1.619
Rb2MoS3O,mp-1193927,1.9705
NaMgFe(SO4)3,mp-1173576,1.87
Cs2Th2P2Se13,mp-1204762,1.6023999999999998
SrFeMoO5,mp-690817,1.8071000000000002
Li5BiS4,mp-757150,1.5608999999999997
Na7Mg2SiGe2P5O24,mp-2715692,1.5531000000000001
Zn2NCl,mp-1189171,1.9701
PAuO4,mp-1095283,1.706
Na3MgBiO4,mp-2217269,1.6456
MgO,mp-1245143,1.8772999999999995
Ga11NO15,mp-676333,1.5736999999999997
LiFeP2O7,mp-849557,1.5473
CaPbI6,mp-771691,1.7803000000000002
MgGe4(MoO6)2,mp-2230144,1.7705000000000002
Li3Fe8(BO3)8,mp-882849,1.5517999999999998
ThP2H2CO8,mp-1199323,1.9858
LiFe4(BO3)4,mp-849952,1.8531000000000002
GaFe(BiO3)2,mp-1225056,1.6718000000000002
MnH16C4(NCl2)2,mp-568043,1.8256
SiP4PdPbO14,mp-1194892,1.8533
LiMgP,mp-961683,1.935
LiFe2(PO4)2,mp-753665,1.6281
RbNa5(WN3)2,mp-571412,1.8417999999999999
SrMn(GeO3)2,mp-1208680,1.5991
BrCl,mp-1066781,1.8319999999999999
Tl4SnS4,mp-5818,1.7881999999999998
LiMnAlO3,mp-755509,1.8152
Li2FeOF3,mp-752830,1.9963
Na3SiSe4,mp-28303,1.7548000000000001
WS2,mp-1023925,1.697
GaP,mp-2490,1.6038999999999999
CsAu(SO4)2,mp-555376,1.5932
WNCl3,mp-1188654,1.8151
Li5Fe2P2(CO7)2,mp-1177151,1.6246999999999998
Na2Al4Si3Sn4(S3O16)3,mp-2716439,1.6993
LiP(WO4)2,mp-757610,1.8364
Ca8Al3(FeO4)5,mp-1227241,1.8679999999999994
Na4Mg(BiO3)2,mp-2218565,1.6294
Na7Mg3Nb(PO4)6,mp-2714101,1.6582000000000001
LiCu3(SiO3)2,mp-1176748,1.601
Li3P7,mp-28336,1.7927
Na10Zn6Si3Ge2(S3O16)3,mp-2714903,1.8349999999999997
Li7Mn7P6(O8F)3,mp-758947,1.6920999999999995
Na6Ta8Zn4Si9(SO8)9,mp-2713336,1.7919
CuH5C6SO,mp-1232363,1.5276999999999998
KRb5Zn4Sn5S17,mp-677017,1.5766999999999998
TaBi3O7,mp-36890,1.8963
WNCl6,mp-1207722,1.805
NaB6S4(Br3O4)2,mp-1196084,1.7688000000000001
